bairro;casos;latitude_cluster;longitude_cluster;idade_media;idade_minima;idade_maxima;casos_por_ano;valor_total_sus;ceps;fonte_localizacao;consulta_localizacao;resultado_osm
Alto do Santana;1;-22.401889;-47.572205;55.0;55;55;"{""2025"": 1}";376.78;13504187;OpenStreetMap/Photon;Rua 7, Alto do Santana, Rio Claro, São Paulo, Brasil;Igreja do Nazareno, Rua Samambaia, Santana, Rio Claro
Bom Retiro;1;-22.40678;-47.601431;34.0;34;34;"{""2025"": 1}";2832.11;13503614;OpenStreetMap/Photon;Rua 4 JW, Bom Retiro, Rio Claro, São Paulo, Brasil;Rua 4 JW, Chácara Bom Retiro, Rio Claro
Centro;15;-22.412349;-47.558201;58.9;39;87;"{""2021"": 1, ""2022"": 3, ""2023"": 5, ""2024"": 3, ""2025"": 3}";34177.24;13500140, 13500150, 13500151, 13500170, 13500181, 13500230, 13500240, 13500390, 13500402, 13500420, 13500430, 13500470;OpenStreetMap/Photon;Rua 1, Centro, Rio Claro, São Paulo, Brasil;Centro Médico 1, Rua 2, Centro, Rio Claro
Centro (Ajapi);3;;;58.3;46;65;"{""2021"": 1, ""2024"": 1, ""2025"": 1}";10236.23;13508500, 13508502, 13508971;Sem resultado — revisão necessária;Estrada Municipal Rio Claro - Ajapi, Centro (Ajapi), Rio Claro, São Paulo, Brasil;
Centro (Assistência);1;-22.498511;-47.586779;69.0;69;69;"{""2025"": 1}";428.64;13509602;OpenStreetMap/Photon;Estrada Fazenda Santa Rosa, Centro (Assistência), Rio Claro, São Paulo, Brasil;Antiga Estrada Santa Rosa, Assistência, Rio Claro
Chácara Luza;2;-22.431619;-47.573821;39.5;32;47;"{""2024"": 1, ""2025"": 1}";6208.66;13502030, 13502034;OpenStreetMap/Photon;Chácara Luza, Rio Claro, São Paulo, Brasil;Chácara Luza, Dona Angela, Rio Claro
Cidade Claret;1;-22.413562;-47.572781;64.0;64;64;"{""2025"": 1}";2622.0;13503184;OpenStreetMap/Photon;Cidade Claret, Rio Claro, São Paulo, Brasil;Cidade Claret, Jardim Centenário, Rio Claro
Cidade Jardim;7;-22.419103;-47.554438;57.4;49;82;"{""2021"": 2, ""2022"": 3, ""2025"": 2}";16059.54;13501020, 13501050, 13501060;OpenStreetMap/Photon;Rua 1 CJ, Cidade Jardim, Rio Claro, São Paulo, Brasil;Edificio Cidade Jardim, Rua Um Cj, Saúde, Rio Claro
Cidade Nova;5;-22.404246;-47.553599;61.2;39;88;"{""2022"": 2, ""2023"": 1, ""2024"": 1, ""2025"": 1}";8114.99;13506760, 13506770, 13506775, 13506807, 13506810;OpenStreetMap/Photon;Avenida 8 A, Cidade Nova, Rio Claro, São Paulo, Brasil;Avenida Oito A, Cidade Nova, Rio Claro
Conjunto Habitacional Arco-Íris (Cecap);3;;;63.0;41;81;"{""2022"": 1, ""2025"": 2}";7933.03;13506074, 13506088, 13506090;Sem resultado — revisão necessária;Rua 1 C, Conjunto Habitacional Arco-Íris (Cecap), Rio Claro, São Paulo, Brasil;
Conjunto Habitacional de Interesse Social Rio Claro H;1;-22.379639;-47.552491;46.0;46;46;"{""2021"": 1}";2587.43;13504630;OpenStreetMap/Photon;Conjunto Habitacional de Interesse Social Rio Claro H, Rio Claro, São Paulo, Brasil;Escola de futebol - 9 de Julho, Rua Seis JA, Distrito Indústrial, Rio Claro
Conjunto Residencial Vila Verde;3;-22.375809;-47.544228;55.3;46;62;"{""2022"": 1, ""2025"": 2}";11759.23;13506134, 13506139;OpenStreetMap/Photon;Conjunto Residencial Vila Verde, Rio Claro, São Paulo, Brasil;Conjunto Residencial Vila Verde, Parque Mãe Preta, Rio Claro
Consolação;4;-22.418922;-47.571575;56.8;40;75;"{""2021"": 2, ""2023"": 2}";10952.47;13500100, 13500120, 13503420;OpenStreetMap/Photon;Rua 11, Consolação, Rio Claro, São Paulo, Brasil;Consolação, Dona Angela, Rio Claro
Distrito Industrial;1;-22.351128;-47.549366;48.0;48;48;"{""2025"": 1}";3653.63;13505600;OpenStreetMap/Photon;Avenida Brasil, Distrito Industrial, Rio Claro, São Paulo, Brasil;Avenida Brasil, Distrito Indústrial, Rio Claro
Estádio;6;-22.424569;-47.564838;53.7;37;63;"{""2021"": 1, ""2022"": 2, ""2023"": 1, ""2025"": 2}";15420.91;13501370, 13501388, 13501390, 13501410, 13501430;OpenStreetMap/Photon;Estádio, Rio Claro, São Paulo, Brasil;Bairro do Estádio, Dona Angela, Rio Claro
Jardim Alfredo Karan;3;;;67.7;61;73;"{""2023"": 1, ""2024"": 1, ""2025"": 1}";5492.5;13504080, 13504081, 13504083;Sem resultado — revisão necessária;Avenida 54, Jardim Alfredo Karan, Rio Claro, São Paulo, Brasil;
Jardim Anhangüera;1;-22.440966;-47.564691;54.0;54;54;"{""2025"": 1}";2505.87;13501590;OpenStreetMap/Photon;Avenida Marginal 1, Jardim Anhangüera, Rio Claro, São Paulo, Brasil;Avenida Marginal Anhanguera, Rio Claro, Rio Claro
Jardim Araucária;8;;;53.9;43;62;"{""2022"": 2, ""2023"": 1, ""2024"": 3, ""2025"": 2}";12342.15;13504821, 13504824, 13504825;Sem resultado — revisão necessária;Rua 2, Jardim Araucária, Rio Claro, São Paulo, Brasil;
Jardim Azul;1;-22.384617;-47.577154;61.0;61;61;"{""2023"": 1}";428.64;13504227;OpenStreetMap/Photon;Jardim Azul, Rio Claro, São Paulo, Brasil;Jardim Azul, Jardim Panorama, Rio Claro
Jardim Bela Vista;4;-22.397969;-47.577127;64.8;45;80;"{""2021"": 2, ""2022"": 1, ""2024"": 1}";9248.38;13504260, 13504266, 13504268, 13504269;OpenStreetMap/Photon;Rua 15, Jardim Bela Vista, Rio Claro, São Paulo, Brasil;Rua Quinze, Jardim  Bela Vista, Rio Claro
Jardim Boa Vista;4;-22.380582;-47.587122;67.5;51;91;"{""2024"": 1, ""2025"": 3}";7290.75;13504686, 13504687, 13504715;OpenStreetMap/Photon;Jardim Boa Vista, Rio Claro, São Paulo, Brasil;Jardim Boa Vista, Jardim Panorama, Rio Claro
Jardim Bom Sucesso;2;-22.404263;-47.606214;37.5;33;42;"{""2023"": 1, ""2025"": 1}";5141.63;13503674, 13503683;OpenStreetMap/Photon;Rua 14 JW, Jardim Bom Sucesso, Rio Claro, São Paulo, Brasil;Centro de Referência de Assistência Social Bom Sucesso, Rua 5 JW, Bom Retiro, Rio Claro
Jardim Centenário;3;-22.41669;-47.587278;44.0;43;45;"{""2021"": 2, ""2023"": 1}";5396.96;13503505, 13503512;OpenStreetMap/Photon;Avenida 8 JC, Jardim Centenário, Rio Claro, São Paulo, Brasil;Avenida Oito A Jc, Jardim Centenário, Rio Claro
Jardim Cherveson;7;-22.382809;-47.574149;56.7;45;76;"{""2021"": 1, ""2022"": 2, ""2024"": 4}";10719.44;13505294, 13505295, 13505300, 13505305, 13505320;OpenStreetMap/Photon;Rua M 17A, Jardim Cherveson, Rio Claro, São Paulo, Brasil;Cherveson, Rua 6, Santana, Rio Claro
Jardim Claret;2;-22.413562;-47.572781;71.0;50;92;"{""2021"": 1, ""2025"": 1}";3047.22;13503210;OpenStreetMap/Photon;Jardim Claret, Rio Claro, São Paulo, Brasil;Cidade Claret, Jardim Centenário, Rio Claro
Jardim Conduta;2;-22.427125;-47.548812;56.0;56;56;"{""2022"": 2}";2105.5;13506873;OpenStreetMap/Photon;Jardim Conduta, Rio Claro, São Paulo, Brasil;Jardim Conduta, Dona Angela, Rio Claro
Jardim das Nações I;1;-22.448108;-47.588218;48.0;48;48;"{""2025"": 1}";3621.23;13502771;OpenStreetMap/Photon;Jardim das Nações I, Rio Claro, São Paulo, Brasil;Jardim das Nações I, Jardim Nova Rio Claro, Rio Claro
Jardim das Paineiras;1;;;58.0;58;58;"{""2024"": 1}";2628.21;13504642;Sem resultado — revisão necessária;Avenida 52 PA, Jardim das Paineiras, Rio Claro, São Paulo, Brasil;
Jardim do Horto;2;-22.428846;-47.551725;49.0;43;55;"{""2021"": 1, ""2023"": 1}";4552.27;13506899;OpenStreetMap/Photon;Rodovia Constantine Peruchi, Jardim do Horto, Rio Claro, São Paulo, Brasil;Vila do Horto Residencial, Rodovia Constante Peruchi, Jardim do Horto, Rio Claro
Jardim Dona Regina Picelli;4;-22.368338;-47.570862;50.8;44;58;"{""2021"": 2, ""2025"": 2}";10492.59;13505220, 13505228;OpenStreetMap/Photon;Rua do Sobrado, Jardim Dona Regina Picelli, Rio Claro, São Paulo, Brasil;Jardim Dona Regina Picelli, Distrito Indústrial, Rio Claro
Jardim Donângela;2;;;80.0;80;80;"{""2024"": 2}";3225.41;13500050;Sem resultado — revisão necessária;Rua 6, Jardim Donângela, Rio Claro, São Paulo, Brasil;
Jardim Esmeralda;2;-22.410704;-47.562723;49.0;45;53;"{""2022"": 1, ""2024"": 1}";5419.54;13502270;OpenStreetMap/Photon;Jardim Esmeralda, Rio Claro, São Paulo, Brasil;Ótica Esmeralda, Av. 1, Cidade Nova, Rio Claro
Jardim Floridiana;15;-22.382515;-47.558641;61.9;47;78;"{""2021"": 2, ""2022"": 3, ""2023"": 5, ""2024"": 2, ""2025"": 3}";35720.27;13505005, 13505007, 13505008, 13505010, 13505011, 13505012, 13505060, 13505070, 13505083;OpenStreetMap/Photon;Avenida M 25, Jardim Floridiana, Rio Claro, São Paulo, Brasil;Floridiana Tênis Clube, Avenida Um Jf, Jardim Floridiana, Rio Claro
Jardim Guanabara;2;-22.43664;-47.580683;54.5;42;67;"{""2025"": 2}";7537.27;13502396, 13502410;OpenStreetMap/Photon;Jardim Guanabara, Rio Claro, São Paulo, Brasil;Jardim Guanabara, Jardim Nova Rio Claro, Rio Claro
Jardim Guanabara II;3;-22.438289;-47.57849;43.0;29;60;"{""2021"": 1, ""2023"": 1, ""2025"": 1}";8997.35;13502420, 13502470;OpenStreetMap/Photon;Jardim Guanabara II, Rio Claro, São Paulo, Brasil;Jardim Guanabara II, Jardim Nova Rio Claro, Rio Claro
Jardim Hipódromo;3;-22.382063;-47.564251;53.0;53;53;"{""2021"": 3}";3092.1;13505100;OpenStreetMap/Photon;Jardim Hipódromo, Rio Claro, São Paulo, Brasil;Jardim Hipódromo, Santana, Rio Claro
Jardim Independência;4;-22.381876;-47.564076;49.5;42;58;"{""2021"": 1, ""2022"": 2, ""2025"": 1}";9641.09;13505260, 13505280;OpenStreetMap/Photon;Rua M 11, Jardim Independência, Rio Claro, São Paulo, Brasil;Centro de Referência de Assistência Social Independência, Rua M 7, Jardim Hipódromo, Rio Claro
Jardim INOCOOP;5;-22.427094;-47.577239;61.4;47;75;"{""2021"": 1, ""2023"": 2, ""2025"": 2}";13588.34;13502011, 13502018;OpenStreetMap/Photon;Jardim INOCOOP, Rio Claro, São Paulo, Brasil;Jardim Inocoop, Jardim Centenário, Rio Claro
Jardim Ipanema (Expansão);3;-22.37965;-47.576329;78.0;78;78;"{""2021"": 2, ""2022"": 1}";1549.47;13505420;OpenStreetMap/Photon;Jardim Ipanema (Expansão), Rio Claro, São Paulo, Brasil;Jardim Ipanema, Jardim Panorama, Rio Claro
Jardim Leblon;1;-22.43501;-47.55862;55.0;55;55;"{""2024"": 1}";2750.55;13501658;OpenStreetMap/Photon;Jardim Leblon, Rio Claro, São Paulo, Brasil;Praça Jardim Leblon, Dona Angela, Rio Claro
Jardim Maria Cristina;1;-22.416252;-47.59007;41.0;41;41;"{""2021"": 1}";5105.87;13503520;OpenStreetMap/Photon;Jardim Maria Cristina, Rio Claro, São Paulo, Brasil;Jardim Maria Cristina, Jardim Centenário, Rio Claro
Jardim Mirassol;2;;;40.5;40;41;"{""2023"": 2}";5541.88;13503110, 13503143;Sem resultado — revisão necessária;Rua 24, Jardim Mirassol, Rio Claro, São Paulo, Brasil;
Jardim Nova Rio Claro;1;-22.43114;-47.598056;41.0;41;41;"{""2024"": 1}";1702.54;13502323;OpenStreetMap/Photon;Rua 25 NR, Jardim Nova Rio Claro, Rio Claro, São Paulo, Brasil;Rua Vinte e Cinco Nr, Jardim Nova Rio Claro, Rio Claro
Jardim Nova Veneza;1;;;46.0;46;46;"{""2023"": 1}";3189.05;13503554;Sem resultado — revisão necessária;Rua 5 NV, Jardim Nova Veneza, Rio Claro, São Paulo, Brasil;
Jardim Novo;15;-22.451416;-47.578269;53.9;41;73;"{""2021"": 3, ""2023"": 3, ""2024"": 3, ""2025"": 6}";30776.37;13502740, 13502745, 13502748, 13502749, 13502751, 13502754, 13502759, 13502761, 13502762;OpenStreetMap/Photon;Avenida 1 JN, Jardim Novo, Rio Claro, São Paulo, Brasil;Avenida 1 JN, Rio Claro, Rio Claro
Jardim Novo II;1;-22.447299;-47.585395;41.0;41;41;"{""2023"": 1}";3701.05;13502763;OpenStreetMap/Photon;Rua 19 JN, Jardim Novo II, Rio Claro, São Paulo, Brasil;Rua 19 JN, Jardim Nova Rio Claro, Rio Claro
Jardim Olinda;2;-22.387804;-47.57682;53.0;45;61;"{""2025"": 2}";7160.52;13504210, 13504220;OpenStreetMap/Photon;Jardim Olinda, Rio Claro, São Paulo, Brasil;Jardim Olinda, Jardim  Bela Vista, Rio Claro
Jardim Panorama;3;-22.387273;-47.592727;49.0;43;58;"{""2023"": 1, ""2025"": 2}";6262.98;13504646, 13504660;OpenStreetMap/Photon;Avenida 60 PA, Jardim Panorama, Rio Claro, São Paulo, Brasil;Avenida 60 PA, Jardim Panorama, Rio Claro
Jardim Parque Residencial;1;-22.374503;-47.551269;58.0;58;58;"{""2025"": 1}";428.64;13506121;OpenStreetMap/Photon;Avenida 84 A, Jardim Parque Residencial, Rio Claro, São Paulo, Brasil;Condomínio Parque das Árvores, Avenida 84 A, Jardim Parque Residencial, Rio Claro
